"coachID","year","tmID","lgID","won","lost"
"hagancl01","1967","DLC","ABA","46","32"
"halebr01","1967","OAK","ABA","22","56"
"hannual01","1967","PHI","NBA","62","20"
"holzmre01","1967","NYK","NBA","28","17"
"juckeed01","1967","CIN","NBA","39","43"
"kerrjo01","1967","CHI","NBA","29","53"
"martisl01","1967","HSM","ABA","29","49"
"mccarba01","1967","NOB","ABA","48","30"
"mcguidi01","1967","NYK","NBA","15","22"
"mcmahja01","1967","SDR","NBA","15","67"
"pollaji01","1967","MNM","ABA","50","28"
"rhodege01","1967","KEN","ABA","31","30"
"russebi01","1967","BOS","NBA","54","28"
"sharmbi01","1967","SFW","NBA","43","39"
"shuege01","1967","BAL","NBA","36","46"
"stavela01","1967","INA","ABA","38","40"
"vanbrbu01","1967","LAL","NBA","52","30"
"zasloma01","1967","NJA","ABA","36","42"
"bassbo01","1968","DNR","ABA","44","34"
"biancal01","1968","SEA","NBA","30","52"
"butchdo01","1968","DET","NBA","10","12"
"costela01","1968","MIL","NBA","27","55"
"gueriri01","1968","ATL","NBA","48","34"
"hagancl01","1968","DLC","ABA","41","37"
"hannual01","1968","OAK","ABA","60","18"
"hardiji01","1968","MNP","ABA","18","8"
"hardiji01","1968","MNP","ABA","2","5"
"holzmre01","1968","NYK","NBA","54","28"
"juckeed01","1968","CIN","NBA","41","41"
"kerrjo01","1968","PHO","NBA","16","66"
"leege01","1968","SFW","NBA","41","41"
"leonasl01","1968","INA","ABA","42","27"
"martisl01","1968","HSM","ABA","3","9"
"mccarba01","1968","NOB","ABA","46","32"
"mcmahja01","1968","SDR","NBA","37","45"
"mikkeve01","1968","MNP","ABA","6","6"
"mottadi01","1968","CHI","NBA","33","49"
"pollaji01","1968","MMF","ABA","43","35"
"ramsaja01","1968","PHI","NBA","55","27"
"rhodege01","1968","KEN","ABA","42","36"
"russebi01","1968","BOS","NBA","48","34"
"seymopa01","1968","DET","NBA","22","38"
"sharmbi01","1968","LAS","ABA","33","45"
"shuege01","1968","BAL","NBA","57","25"
"stavela01","1968","INA","ABA","2","7"
"vanbrbu01","1968","LAL","NBA","55","27"
"weaveji01","1968","HSM","ABA","20","46"
"youngve01","1968","MNP","ABA","10","23"
"zasloma01","1968","NYA","ABA","17","61"
"attleal01","1969","SFW","NBA","8","22"
"belmojo01","1969","DNR","ABA","42","14"
"biancal01","1969","WSA","ABA","44","40"
"blitmha01","1969","MMF","ABA","18","46"
"clarkjo01","1969","PTP","ABA","14","25"
"colanje01","1969","PHO","NBA","24","20"
"costela01","1969","MIL","NBA","56","26"
"cousybo01","1969","CIN","NBA","36","46"
"gueriri01","1969","ATL","NBA","48","34"
"hagancl01","1969","DLC","ABA","22","21"
"hannual01","1969","SDR","NBA","18","38"
"heinsto01","1969","BOS","NBA","34","48"
"holzmre01","1969","NYK","NBA","60","22"
"jeannbu01","1969","PTP","ABA","15","30"
"kerrjo01","1969","PHO","NBA","15","23"
"laresyo01","1969","NYA","ABA","39","45"
"leege01","1969","SFW","NBA","22","30"
"leonasl01","1969","INA","ABA","59","25"
"mccarba01","1969","NOB","ABA","42","42"
"mckinbo01","1969","CAR","ABA","42","42"
"mclenjo01","1969","DNR","ABA","9","19"
"mcmahja01","1969","SDR","NBA","9","17"
"mottadi01","1969","CHI","NBA","39","43"
"mullajo01","1969","LAL","NBA","46","36"
"pollaji01","1969","MMF","ABA","5","15"
"ramsaja01","1969","PHI","NBA","42","40"
"rhodege01","1969","KEN","ABA","45","39"
"sharmbi01","1969","LAS","ABA","43","41"
"shuege01","1969","BAL","NBA","50","32"
"vanbrbu01","1969","DET","NBA","31","51"
"wilkele01","1969","SEA","NBA","36","46"
"willima05","1969","DLC","ABA","23","18"
"albecst01","1970","DNR","ABA","27","44"
"attleal01","1970","SFW","NBA","41","41"
"bassbo01","1970","FLO","ABA","19","17"
"belmojo01","1970","DNR","ABA","3","10"
"biancal01","1970","VIR","ABA","55","29"
"blakebi01","1970","TEX","ABA","25","40"
"blitmha01","1970","FLO","ABA","18","30"
"carnelo01","1970","NYA","ABA","40","44"
"costela01","1970","MIL","NBA","66","16"
"cousybo01","1970","CIN","NBA","33","49"
"fitchbi01","1970","CLE","NBA","15","67"
"fitzsco01","1970","PHO","NBA","48","34"
"grozaal01","1970","KEN","ABA","2","0"
"gueriri01","1970","ATL","NBA","36","46"
"hannual01","1970","SDR","NBA","40","42"
"heinsto01","1970","BOS","NBA","44","38"
"holzmre01","1970","NYK","NBA","52","30"
"leonasl01","1970","INA","ABA","58","26"
"mccarba01","1970","MMP","ABA","41","43"
"mckinbo01","1970","CAR","ABA","17","25"
"mcmahja01","1970","PTC","ABA","36","48"
"mottadi01","1970","CHI","NBA","51","31"
"mullajo01","1970","LAL","NBA","48","34"
