"tmID","year","rank","homeWon","homeLost","awayWon","awayLost","neutWon","neutLoss","won","lost","games"
"CHI","1970","2","30","11","17","19","4","1","51","31","82"
"CIN","1970","3","17","16","11","28","5","5","33","49","82"
"CLE","1970","4","11","30","2","37","2","0","15","67","82"
"DET","1970","4","24","17","20","19","1","1","45","37","82"
"LAL","1970","1","30","11","17","22","1","1","48","34","82"
"MIL","1970","1","34","2","28","13","4","1","66","16","82"
"NYK","1970","1","32","9","19","20","1","1","52","30","82"
"PHI","1970","2","24","15","21","18","2","2","47","35","82"
"PHO","1970","3","27","14","19","20","2","0","48","34","82"
"POR","1970","5","18","21","9","26","2","6","29","53","82"
"SDR","1970","3","24","15","15","26","1","1","40","42","82"
"SEA","1970","4","27","13","11","30","0","1","38","44","82"
"SFW","1970","2","20","18","19","21","2","2","41","41","82"
"CAR","1971","5","20","22","14","26","1","1","35","49","84"
"DLC","1971","3","25","15","15","25","2","2","42","42","84"
"DNR","1971","4","25","15","7","32","2","3","34","50","84"
"FLO","1971","4","23","18","12","30","1","0","36","48","84"
"INA","1971","2","28","12","17","24","2","1","47","37","84"
"KEN","1971","1","36","6","28","10","4","0","68","16","84"
"MMP","1971","5","16","21","8","31","2","6","26","58","84"
"NYA","1971","3","27","15","17","25","0","0","44","40","84"
"PTC","1971","6","15","22","9","31","1","6","25","59","84"
"UTS","1971","1","31","9","26","14","3","1","60","24","84"
"VIR","1971","2","23","18","20","21","2","0","45","39","84"
"ATL","1971","2","22","19","13","26","1","1","36","46","82"
"BAL","1971","1","18","15","16","24","4","5","38","44","82"
"BOS","1971","1","32","9","21","16","3","1","56","26","82"
"BUF","1971","4","13","27","8","31","1","2","22","60","82"
"CHI","1971","2","29","12","26","12","2","1","57","25","82"
"CIN","1971","3","20","18","8","32","2","2","30","52","82"
"CLE","1971","4","13","28","8","30","2","1","23","59","82"
"DET","1971","4","16","25","9","30","1","1","26","56","82"
"GSW","1971","2","27","8","21","20","3","3","51","31","82"
"HOU","1971","4","15","20","14","23","5","5","34","48","82"
"LAL","1971","1","36","5","31","7","2","1","69","13","82"
"MIL","1971","1","31","5","27","12","5","2","63","19","82"
"NYK","1971","2","27","14","20","19","1","1","48","34","82"
"PHI","1971","3","14","23","14","26","2","3","30","52","82"
"PHO","1971","3","30","11","19","20","0","2","49","33","82"
"POR","1971","5","14","26","4","35","0","3","18","64","82"
"SEA","1971","3","28","12","18","22","1","1","47","35","82"
"CAR","1972","1","30","12","27","15","0","0","57","27","84"
"DLC","1972","5","17","18","7","35","4","3","28","56","84"
"DNR","1972","3","30","9","13","28","4","0","47","37","84"
"INA","1972","2","32","9","17","23","2","1","51","33","84"
"KEN","1972","2","33","9","23","19","0","0","56","28","84"
"MMT","1972","5","19","23","5","35","0","2","24","60","84"
"NYA","1972","4","21","21","9","31","0","2","30","54","84"
"SDA","1972","4","21","21","8","31","1","2","30","54","84"
"UTS","1972","1","37","5","18","23","0","1","55","29","84"
"VIR","1972","3","31","11","11","31","0","0","42","42","84"
"ATL","1972","2","28","13","17","23","1","0","46","36","82"
"BAL","1972","1","24","9","21","17","7","4","52","30","82"
"BOS","1972","1","33","6","32","8","3","0","68","14","82"
"BUF","1972","3","14","27","6","31","1","3","21","61","82"
"CHI","1972","2","29","12","20","19","2","0","51","31","82"
"CLE","1972","4","20","21","10","27","2","2","32","50","82"
"DET","1972","3","26","15","13","25","1","2","40","42","82"
"GSW","1972","2","27","14","18","20","2","1","47","35","82"
"HOU","1972","3","14","14","10","28","9","7","33","49","82"
"KCO","1972","4","24","17","12","29","0","0","36","46","82"
"LAL","1972","1","30","11","28","11","2","0","60","22","82"
"MIL","1972","1","33","5","25","15","2","2","60","22","82"
"NYK","1972","2","35","6","21","18","1","1","57","25","82"
"PHI","1972","4","5","26","2","36","2","11","9","73","82"
"PHO","1972","3","22","19","15","25","1","0","38","44","82"
"POR","1972","5","13","28","8","32","0","1","21","61","82"
"SEA","1972","4","16","25","10","29","0","2","26","56","82"
"CAR","1973","3","29","13","18","24","0","0","47","37","84"
"DNR","1973","4","24","18","13","28","0","1","37","47","84"
"INA","1973","2","29","11","15","27","2","0","46","38","84"
"KEN","1973","2","30","12","23","19","0","0","53","31","84"
