"lgID", "tmID", "name", "arena"
"NBA","CHA","Charlotte Bobcats","Time Warner Cable Arena"
"NBA","OKC","Oklahoma City Thunder","Ford Center"
"ABL1","CHM","Chicago Majors","Chicago International Amphitheater"
"ABL1","KCS","Kansas City Steers","Municipal Auditorium"
"ABL1","LBC","Long Beach Chiefs","Long Beach Sports Arena"
"ABL1","OAO","Oakland Oaks","Oakland Auditorium"
"ABL1","PGR","Pittsburgh Rens","Pittsburgh Civic Arena"
"ABL1","PHT","Philadelphia Tapers","Convention Hall"
"ABL1","CLP","Cleveland Pipers","Cleveland Arena"
"ABL1","HAW","Hawaii Chiefs","Honolulu City Auditorium"
"ABL1","LAJ","Los Angeles Jets","Los Angeles Memorial Sports Arena"
"ABL1","SFS","San Francisco Saints","San Francisco Civic Auditorium"
"ABL1","WNY","Washington/New York Tapers","Washington Coliseum/Long Island Arena"
"NPBL","AND","Anderson Packers","Anderson High School Wigwam"
"NPBL","DNN","Denver Refiners","Denver Auditorium Arena"
"NPBL","EVA","Evansville Agogans","Agoga Tabernacle"
"NPBL","GRH","Grand Rapids Hornets","Grand Rapids Stadium"
"NPBL","KCH","Kansas City Hi-Spots","Pla-Mor Arena"
"NPBL","LOA","Louisville Alumnites","Louisville Male High Gym"
"NPBL","SHE","Sheboygan Redskins","Sheboygan Municipal Auditorium and Armory"
"NPBL","SPL","St. Paul Lights","St. Paul Auditorium"
"NPBL","WAT","Waterloo Hawks","Waterloo Hippodrome"
"NBL","AND","Anderson Duffey Packers",""
"NBL","DAY","Dayton Rens",""
"NBL","DNN","Denver Nuggets",""
"NBL","DTK","Detroit Vagabond Kings",""
"NBL","HCB","Hammond Calumet Buccaneers",""
"NBL","OSH","Oshkosh All-Stars",""
"NBL","SHE","Sheboygan Redskins",""
"NBL","SYR","Syracuse Nationals",""
"NBL","TRI","Tri-Cities Blackhawks",""
"NBL","WAT","Waterloo Hawks",""
"NBL","FNT","Flint/Midland Dow A.C.'s",""
"NBL","FTW","Fort Wayne Zollner Pistons",""
"NBL","INK","Indianapolis Kautskys",""
"NBL","MNL","Minneapolis Lakers",""
"NBL","ROC","Rochester Royals",""
"NBL","TOL","Toledo Jeeps",""
"PBLA","ATC","Atlanta Crackers","Sports Arena"
"PBLA","BIR","Birmingham Skyhawks","Municipal Auditorium"
"PBLA","CHG","Chicago Gears","International Amphitheatre"
"PBLA","CHT","Chattanooga Majors","Memorial Auditorium"
"PBLA","GRR","Grand Rapids Rangers","Civic Auditorium"
"PBLA","HMV","Houston Mavericks","Municipal Auditorium"
"PBLA","KCB","Kansas City Blues","Municipal Auditorium (MO)"
"PBLA","LOU","Louisville Colonels","Louisville Armory"
"PBLA","NOL","New Orleans Hurricanes","Coliseum Arena"
"PBLA","OKD","Oklahoma City Drillers","Municipal Auditorium"
"PBLA","OMA","Omaha Tomahawks","Creighton University"
"PBLA","SPR","Springfield Squires","Mosque Temple"
"PBLA","STJ","St. Joseph Outlaws","City Auditorium"
"PBLA","STP","St. Paul Saints","St. Paul Auditorium"
"PBLA","TUL","Tulsa Ranchers","Fair Grounds Pavilion"
"PBLA","WAT","Waterloo Hawks","Waterloo Hippodrome"
"NBL","CHG","Chicago American Gears",""
"NBL","DTG","Detroit Gems",""
"NBL","YOU","Youngstown Bears",""
"NBL","CAT","Cleveland Allmen Transfers",""
"NBL","PTR","Pittsburgh Raiders",""
"NBL","CCB","Cleveland Chase Brassmen",""
