"tmID","year","homeWon","homeLost","awayWon","awayLost","neutWon","neutLoss","won","lost","games"
"NOB","1967","23","6","14","20","11","4","48","30","78"
"OAK","1967","12","18","4","32","6","6","22","56","78"
"PTP","1967","31","6","20","16","3","2","54","24","78"
"BAL","1967","17","19","12","23","7","4","36","46","82"
"BOS","1967","28","9","20","16","6","3","54","28","82"
"CHI","1967","11","22","12","23","6","8","29","53","82"
"CIN","1967","18","12","13","23","8","8","39","43","82"
"DET","1967","21","11","12","23","7","8","40","42","82"
"LAL","1967","30","11","18","19","4","0","52","30","82"
"NYK","1967","20","17","21","16","2","6","43","39","82"
"PHI","1967","27","8","25","12","10","0","62","20","82"
"SDR","1967","8","33","4","26","3","8","15","67","82"
"SEA","1967","9","19","7","24","7","16","23","59","82"
"SFW","1967","27","14","16","23","0","2","43","39","82"
"STL","1967","25","7","22","13","9","6","56","26","82"
"DLC","1968","24","13","14","21","3","3","41","37","78"
"DNR","1968","32","7","9","26","3","1","44","34","78"
"HSM","1968","15","23","7","28","1","4","23","55","78"
"INA","1968","29","10","15","22","0","2","44","34","78"
"KEN","1968","27","13","14","21","1","2","42","36","78"
"LAS","1968","22","17","10","25","1","3","33","45","78"
"MMF","1968","19","10","16","21","8","4","43","35","78"
"MNP","1968","15","12","13","25","8","5","36","42","78"
"NOB","1968","23","8","17","20","6","4","46","32","78"
"NYA","1968","12","27","5","29","0","5","17","61","78"
"OAK","1968","30","8","28","10","2","0","60","18","78"
"ATL","1968","28","12","18","21","2","1","48","34","82"
"BAL","1968","29","9","24","15","4","1","57","25","82"
"BOS","1968","24","12","21","19","3","3","48","34","82"
"CHI","1968","19","21","12","25","2","3","33","49","82"
"CIN","1968","15","13","16","21","10","7","41","41","82"
"DET","1968","21","17","7","30","4","3","32","50","82"
"LAL","1968","32","9","21","18","2","0","55","27","82"
"MIL","1968","15","19","8","27","4","9","27","55","82"
"NYK","1968","30","7","19","20","5","1","54","28","82"
"PHI","1968","26","8","24","16","5","3","55","27","82"
"PHO","1968","11","26","4","28","1","12","16","66","82"
"SDR","1968","25","16","8","25","4","4","37","45","82"
"SEA","1968","18","18","6","29","6","5","30","52","82"
"SFW","1968","22","19","18","21","1","1","41","41","82"
"CAR","1969","28","14","14","27","0","1","42","42","84"
"DLC","1969","23","14","14","22","8","3","45","39","84"
"DNR","1969","36","5","11","25","4","3","51","33","84"
"INA","1969","28","9","26","14","5","2","59","25","84"
"KEN","1969","27","14","14","23","4","2","45","39","84"
"LAS","1969","21","15","14","24","8","2","43","41","84"
"MMF","1969","18","20","4","33","1","8","23","61","84"
"NOB","1969","28","11","11","26","3","5","42","42","84"
"NYA","1969","23","19","13","25","3","1","39","45","84"
"PTP","1969","21","17","8","32","0","6","29","55","84"
"WSA","1969","20","10","19","22","5","8","44","40","84"
"ATL","1969","25","13","18","16","5","5","48","34","82"
"BAL","1969","25","12","19","18","6","2","50","32","82"
"BOS","1969","16","21","13","27","5","0","34","48","82"
"CHI","1969","23","10","9","25","7","8","39","43","82"
"CIN","1969","19","13","14","25","3","8","36","46","82"
"DET","1969","18","20","10","25","3","6","31","51","82"
"LAL","1969","27","14","17","21","2","1","46","36","82"
"MIL","1969","27","11","24","14","5","1","56","26","82"
"NYK","1969","30","11","27","10","3","1","60","22","82"
"PHI","1969","22","16","16","22","4","2","42","40","82"
"PHO","1969","22","15","12","25","5","3","39","43","82"
"SDR","1969","21","17","4","33","2","5","27","55","82"
"SEA","1969","22","14","10","26","4","6","36","46","82"
"SFW","1969","16","20","14","26","0","6","30","52","82"
"CAR","1970","20","22","14","26","0","2","34","50","84"
"DNR","1970","19","21","10","31","1","2","30","54","84"
"FLO","1970","22","17","11","27","4","3","37","47","84"
"INA","1970","29","10","25","15","4","1","58","26","84"
"KEN","1970","26","15","18","23","0","2","44","40","84"
"MMP","1970","18","14","16","25","7","4","41","43","84"
"NYA","1970","25","17","14","26","1","1","40","44","84"
"PTC","1970","24","16","11","28","1","4","36","48","84"
"TEX","1970","18","24","11","26","1","4","30","54","84"
"UTS","1970","33","7","20","19","4","1","57","27","84"
"VIR","1970","32","9","22","20","1","0","55","29","84"
"ATL","1970","21","20","14","26","1","0","36","46","82"
"BAL","1970","24","13","16","25","2","2","42","40","82"
"BOS","1970","25","14","18","22","1","2","44","38","82"
"BUF","1970","14","23","6","30","2","7","22","60","82"
"CHI","1970","30","11","17","19","4","1","51","31","82"
"CIN","1970","17","16","11","28","5","5","33","49","82"
"CLE","1970","11","30","2","37","2","0","15","67","82"
"DET","1970","24","17","20","19","1","1","45","37","82"
"LAL","1970","30","11","17","22","1","1","48","34","82"
"MIL","1970","34","2","28","13","4","1","66","16","82"
"NYK","1970","32","9","19","20","1","1","52","30","82"
"PHI","1970","24","15","21","18","2","2","47","35","82"
"PHO","1970","27","14","19","20","2","0","48","34","82"
"POR","1970","18","21","9","26","2","6","29","53","82"
"SDR","1970","24","15","15","26","1","1","40","42","82"
"SEA","1970","27","13","11","30","0","1","38","44","82"
"SFW","1970","20","18","19","21","2","2","41","41","82"
"CAR","1971","20","22","14","26","1","1","35","49","84"
"DLC","1971","25","15","15","25","2","2","42","42","84"
"DNR","1971","25","15","7","32","2","3","34","50","84"
"FLO","1971","23","18","12","30","1","0","36","48","84"
"INA","1971","28","12","17","24","2","1","47","37","84"
"KEN","1971","36","6","28","10","4","0","68","16","84"
"MMP","1971","16","21","8","31","2","6","26","58","84"
"NYA","1971","27","15","17","25","0","0","44","40","84"
"PTC","1971","15","22","9","31","1","6","25","59","84"
"UTS","1971","31","9","26","14","3","1","60","24","84"
"VIR","1971","23","18","20","21","2","0","45","39","84"
"ATL","1971","22","19","13","26","1","1","36","46","82"
"BAL","1971","18","15","16","24","4","5","38","44","82"
"BOS","1971","32","9","21","16","3","1","56","26","82"
"BUF","1971","13","27","8","31","1","2","22","60","82"
"CHI","1971","29","12","26","12","2","1","57","25","82"
"CIN","1971","20","18","8","32","2","2","30","52","82"
"CLE","1971","13","28","8","30","2","1","23","59","82"
"DET","1971","16","25","9","30","1","1","26","56","82"
"GSW","1971","27","8","21","20","3","3","51","31","82"
"HOU","1971","15","20","14","23","5","5","34","48","82"
"LAL","1971","36","5","31","7","2","1","69","13","82"
"MIL","1971","31","5","27","12","5","2","63","19","82"
"NYK","1971","27","14","20","19","1","1","48","34","82"
"PHI","1971","14","23","14","26","2","3","30","52","82"
"PHO","1971","30","11","19","20","0","2","49","33","82"
"POR","1971","14","26","4","35","0","3","18","64","82"
"SEA","1971","28","12","18","22","1","1","47","35","82"
"CAR","1972","30","12","27","15","0","0","57","27","84"
"DLC","1972","17","18","7","35","4","3","28","56","84"
"DNR","1972","30","9","13","28","4","0","47","37","84"
"INA","1972","32","9","17","23","2","1","51","33","84"
"KEN","1972","33","9","23","19","0","0","56","28","84"
"MMT","1972","19","23","5","35","0","2","24","60","84"
"NYA","1972","21","21","9","31","0","2","30","54","84"
"SDA","1972","21","21","8","31","1","2","30","54","84"
"UTS","1972","37","5","18","23","0","1","55","29","84"
"VIR","1972","31","11","11","31","0","0","42","42","84"
"ATL","1972","28","13","17","23","1","0","46","36","82"
"BAL","1972","24","9","21","17","7","4","52","30","82"
"BOS","1972","33","6","32","8","3","0","68","14","82"
"BUF","1972","14","27","6","31","1","3","21","61","82"
"CHI","1972","29","12","20","19","2","0","51","31","82"
"CLE","1972","20","21","10","27","2","2","32","50","82"
"DET","1972","26","15","13","25","1","2","40","42","82"
"GSW","1972","27","14","18","20","2","1","47","35","82"
"HOU","1972","14","14","10","28","9","7","33","49","82"
"KCO","1972","24","17","12","29","0","0","36","46","82"
"LAL","1972","30","11","28","11","2","0","60","22","82"
"MIL","1972","33","5","25","15","2","2","60","22","82"
"NYK","1972","35","6","21","18","1","1","57","25","82"
"PHI","1972","5","26","2","36","2","11","9","73","82"
"PHO","1972","22","19","15","25","1","0","38","44","82"
"POR","1972","13","28","8","32","0","1","21","61","82"
"SEA","1972","16","25","10","29","0","2","26","56","82"
